trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.4, 'e': 0.44752321376381066}",25,15,9.146095808151149,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.44304798162617254}",20,0,7.7467096811781815,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.4, 'e': 0.4386175018099108}",30,0,-29.243515133498686,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.4, 'e': 0.4342313267918117}",30,4,14.402757938528993,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.4298890135238936}",25,11,-41.80064236471478,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.4, 'e': 0.42559012338865465}",25,0,-52.11443572519202,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.4, 'e': 0.4213342221547681}",30,6,20.017099391371353,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.41712087993322045}",25,1,-10.730951444275519,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.41294967113388825}",30,0,-102.77794948007178,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
89,False,"{'a': 0.4, 'e': 0.40882017442254937}",20,6,4.520843389456268,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.4047319726783239}",25,0,-13.484454784459343,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.4, 'e': 0.40068465295154065}",25,14,-27.13344082260894,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.39667780642202527}",20,13,-0.9921976176586591,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.392711028357805}",20,0,-34.31783172854763,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.4, 'e': 0.38878391807422696}",20,8,-65.97936216520323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
95,False,"{'a': 0.4, 'e': 0.3848960788934847}",20,10,-48.370207347408055,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.4, 'e': 0.38104711810454983}",20,16,8.455014568206888,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.37723664692350434}",20,0,-20.30655174795153,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.37346428045426927}",25,0,-1.2322510637246378,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.36972963764972655}",25,0,-41.21364087254821,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.36603234127322926}",25,18,11.873189727197854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.36237201786049694}",35,20,-35.249258869949486,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
102,False,"{'a': 0.4, 'e': 0.358748297681892}",25,0,0.5526689747018234,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.35516081470507305}",25,8,10.713501749142036,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.3516092065580223}",30,9,9.024520902785536,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.34809311449244207}",20,3,4.960973023465398,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.34461218334751764}",20,7,-9.521359841356187,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.34116606151404244}",25,15,9.586298881333155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.337754400898902}",20,12,-3.7587023158775126,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.334376856889913}",25,15,3.8655911392821762,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.33103308832101386}",30,0,28.434670918781237,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
111,False,"{'a': 0.4, 'e': 0.3277227574378037}",20,0,-17.9724258188641,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
112,False,"{'a': 0.4, 'e': 0.3244455298634257}",30,0,25.114916565745602,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.3212010745647914}",20,0,5.621117544178057,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.3179890638191435}",20,0,-157.5472472373683,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
115,False,"{'a': 0.4, 'e': 0.31480917318095203}",25,11,2.406269100961036,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.3116610814491425}",25,9,7.156921519251119,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.30854447063465107}",20,9,-23.021518950336883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.4, 'e': 0.30545902592830454}",25,0,-6.299731984891828,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.4, 'e': 0.3024044356690215}",20,5,-36.089292096874836,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.4, 'e': 0.29938039131233124}",25,10,-31.560055089464598,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.4, 'e': 0.2963865873992079}",30,12,-21.70141474725117,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.4, 'e': 0.29342272152521587}",30,13,-0.4611112267182964,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.4, 'e': 0.2904884943099637}",25,13,-5.504264488069151,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.28758360936686406}",35,0,-1.9032605729077225,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.2847077732731954}",30,8,-13.667780515224866,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.4, 'e': 0.28186069554046345}",25,0,-5.0270417865814,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.2790420885850588}",25,9,15.538298707852107,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.2762516676992082}",25,7,-19.853235033700802,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.4, 'e': 0.27348915102221616}",25,0,4.824458494528594,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.4, 'e': 0.270754259511994}",20,0,19.40557633012663,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.4, 'e': 0.26804671691687404}",20,8,2.859412911884311,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.2653662497477053}",30,17,23.66907770924006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.2627125872502282}",20,12,15.428158776798615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.2600854613777259}",25,13,23.96607966960956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.2574846067639487}",30,0,-98.58651755160943,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 3}",1
136,False,"{'a': 0.4, 'e': 0.2549097606963092}",20,3,15.477021190863727,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.2523606630893461}",25,16,-2.613804548824713,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.24983705645845267}",25,12,10.213397447653064,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.4, 'e': 0.24733868589386815}",35,17,8.877582960772244,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.4, 'e': 0.24486529903492946}",30,5,-40.408119289311195,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
141,False,"{'a': 0.4, 'e': 0.24241664604458016}",25,7,-80.80447962955161,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.4, 'e': 0.23999247958413436}",30,16,24.4368290684343,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.23759255478829303}",30,8,16.243015059052286,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.2352166292404101}",25,10,17.630592371779446,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': 0.232864462948006}",20,8,-19.0851848249801,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.4, 'e': 0.23053581831852593}",35,18,16.35167263047233,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
